date,festival,kind,venue,tier,evidence,source_url
2023-01-06,Garuda Seva,announced_dates,unspecified,minor,NO POURNAMI GARUDA SEVA ON JAN 6 _ జనవరి 6న పౌర్ణ‌మి గరుడసేవ రద్దు,https://news.tirumala.org/%e0%b0%9c%e0%b0%a8%e0%b0%b5%e0%b0%b0%e0%b0%bf-6%e0%b0%a8-%e0%b0%aa%e0%b1%8c%e0%b0%b0%e0%b1%8d%e0%b0%a3%e0%b0%ae%e0%b0%bf-%e0%b0%97%e0%b0%b0%e0%b1%81%e0%b0%a1%e0%b0%b8%e0%b1%87%e0%b0%b5/
2023-01-22,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-01-23,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-01-24,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-01-25,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-01-26,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-01-26,Republic Day,fixed_national_holiday,national,major,fixed calendar date,
2023-01-27,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-01-28,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-01-29,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-01-30,Brahmotsavams,announced_dates,unspecified,major,LAKSHMI VENKATESWARA SWAMY BRAHMOTSAVAMS FROM JAN 22-30,https://news.tirumala.org/lakshmi-venkateswara-swamy-brahmotsavams-from-jan-22-30/
2023-02-05,Garuda Seva,same_day_report,unspecified,minor,POURNAMI GARUDA SEVA HELD,https://news.tirumala.org/pournami-garuda-seva-held-_-%e0%b0%a4%e0%b0%bf%e0%b0%b0%e0%b1%81%e0%b0%ae%e0%b0%b2%e0%b0%b2%e0%b1%8b-%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be/
2023-02-15,Garuda Seva,same_day_report,unspecified,minor,KALYANA VENKANNA GARUDA SEVA HELD _ వైభవంగా శ్రీ కల్యాణ వేంకటేశ్వరస్వామి గరుడసేవ,https://news.tirumala.org/%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%95%e0%b0%b2%e0%b1%8d%e0%b0%af%e0%b0%be%e0%b0%a3-%e0%b0%b5%e0%b1%87%e0%b0%82%e0%b0%95-3/
