darshan_date,pilgrims,post_id,post_datetime,date_source,darshan_wait_hours,waiting_compartments,title,link
2018-01-15,56561,54322,2018-01-15 18:44:57,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 23 Compartments / 12 Hours, Speci","About 56,561 pilgrims had Srivari darshan from 3am to 6pm on Jan 15",https://news.tirumala.org/sarva-darshan-free-darshan-23-compartments-12-hours-special-entry-darshan-rs-300-darshan-direct/
2018-01-16,52962,54378,2018-01-16 19:19:46,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 4 Compartments / 4 Hours, Special","About 52,962 pilgrims had Srivari darshan from 3am to 6pm on Jan 16",https://news.tirumala.org/sarva-darshan-free-darshan-4-compartments-4-hours-special-entry-darshan-rs-300-darshan-direct/
2018-01-17,42366,54395,2018-01-17 18:40:09,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 29 Compartments / 8 Hours, Specia","About 42,366 pilgrims had Srivari darshan from 3am to 6pm on Jan 17",https://news.tirumala.org/about-42366-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-jan-17/
2018-01-18,42896,54430,2018-01-18 18:41:36,month_day_year_inferred@title,13,"and waiting hours details - Sarva darshan (free darshan) Line Outside / 13 Hours, Special","About 42,896 pilgrims had Srivari darshan from 3am to 6pm on Jan 18",https://news.tirumala.org/sarva-darshan-free-darshan-31-compartments-13-hours-special-entry-darshan-rs-300-darshan-direct/
2018-01-19,42111,54475,2018-01-19 18:30:21,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 43 Compartments / 14 Hours, Speci","About 42,111 pilgrims had Srivari darshan from 3am to 6pm on Jan 19",https://news.tirumala.org/sarva-darshan-free-darshan-43-compartments-14-hours-special-entry-darshan-rs-300-darshan-direct/
2018-01-20,53042,54482,2018-01-20 18:52:57,month_day_year_inferred@title,12,"and waiting hours details - Sarva darshan (free darshan) Line Outside / 12 Hours, Special","About 53,042 pilgrims had Srivari darshan from 3am to 6pm on Jan 20",https://news.tirumala.org/about-53042-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-jan-20/
2018-01-21,54549,54486,2018-01-21 18:55:56,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 29 Compartments / 12 Hours, Speci","About 54,549 pilgrims had Srivari darshan from 3am to 6pm on Jan 21",https://news.tirumala.org/about-54549-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-jan-21/
2018-01-22,47005,54491,2018-01-22 05:58:37,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 29 Compartments / 10 Hours, Speci","About 47,005 pilgrims had Srivari darshan from 3am to 6pm on Jan 22",https://news.tirumala.org/about-47005-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-jan-22/
2018-01-24,62273,54717,2018-01-24 19:19:43,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 12 Compartments / 4 Hours, Specia","About 62,273 pilgrims had Srivari darshan from 3am to 6pm on Jan 24",https://news.tirumala.org/sarva-darshan-free-darshan-12-compartments-4-hours-special-entry-darshan-rs-300-darshan-direct/
2018-01-25,41782,54781,2018-01-25 19:30:33,month_day_year_inferred@title,8,"and waiting hours details - Sarva darshan (free darshan) Line Outside / 8 Hours, Special E","About 41,782 pilgrims had Srivari darshan from 3am to 6pm on Jan 25",https://news.tirumala.org/sarva-darshan-free-darshan-line-outside-8-hours-special-entry-darshan-rs-300-darshan-direct/
2018-01-26,38118,54883,2018-01-26 18:34:50,month_day_year_inferred@title,14,"and waiting hours details - Sarva darshan (free darshan) Line Outside / 14 Hours, Special","About 38,118 pilgrims had Srivari darshan from 3am to 6pm on Jan 26",https://news.tirumala.org/sarva-darshan-free-darshan-line-outside-14-hours-special-entry-darshan-rs-300-darshan-direct/
2018-01-27,53849,54917,2018-01-27 18:48:05,month_day_year_inferred@title,12,"and waiting hours details - Sarva darshan (free darshan) Line Outside / 12 Hours, Special","About 53,849 pilgrims had Srivari darshan from 3am to 6pm on Jan 27",https://news.tirumala.org/sarva-darshan-free-darshan-line-outside-12-hours-special-entry-darshan-rs-300-darshan-direct-2/
2018-01-28,55545,55000,2018-01-28 18:40:05,month_day_year_inferred@title,10,"and waiting hours details - Sarva darshan (free darshan) Line Outside / 10 Hours, Special","About 55,545 pilgrims had Srivari darshan from 3am to 6pm on Jan 28",https://news.tirumala.org/about-55545-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-jan-28/
2018-01-29,43631,55041,2018-01-29 18:34:24,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 19 Compartments / 5 Hours, Specia","About 43,631 pilgrims had Srivari darshan from 3am to 6pm on Jan 29",https://news.tirumala.org/sarva-darshan-free-darshan-19-compartments-5-hours-special-entry-darshan-rs-300-darshan-direct/
2018-01-30,39091,55079,2018-01-30 22:16:54,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 16 Compartments / 6 Hours, Specia","About 39,091 pilgrims had Srivari darshan from 3am to 6pm on Jan 30",https://news.tirumala.org/about-39091-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-jan-30/
2018-02-01,40791,55175,2018-02-01 18:43:46,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 6 Compartments / 4 Hours, Special","About 40,791 pilgrims had Srivari darshan from 3am to 6pm on Feb 1",https://news.tirumala.org/sarva-darshan-free-darshan-6-compartments-4-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-02,38975,55219,2018-02-02 18:26:25,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 18 Compartments / 5 Hours, Specia","About 38,975 pilgrims had Srivari darshan from 3am to 6pm on Feb 2",https://news.tirumala.org/sarva-darshan-free-darshan-18-compartments-5-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-03,47914,55228,2018-02-03 18:28:41,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 18 Compartments / 6 Hours, Specia","About 47,914 pilgrims had Srivari darshan from 3am to 6pm on Feb 3",https://news.tirumala.org/about-47914-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-3/
2018-02-04,52271,55245,2018-02-04 18:51:24,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 6 Compartments / 5 Hours, Special","About 52,271 pilgrims had Srivari darshan from 3am to 6pm on Feb 4",https://news.tirumala.org/about-52271-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-4/
2018-02-05,46223,55280,2018-02-05 19:27:17,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 17 Compartments / 6 Hours, Specia","About 46,223 pilgrims had Srivari darshan from 3am to 6pm on Feb 5",https://news.tirumala.org/sarva-darshan-free-darshan-17-compartments-6-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-06,44045,55361,2018-02-06 18:36:16,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 27 Compartments / 8 Hours, Specia","About 44,045 pilgrims had Srivari darshan from 3am to 6pm on Feb 6",https://news.tirumala.org/about-44045-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-6/
2018-02-07,38241,55436,2018-02-07 19:11:38,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 26 Compartments / 8 Hours, Specia","About 38,241 pilgrims had Srivari darshan from 3am to 6pm on Feb 7",https://news.tirumala.org/sarva-darshan-free-darshan-26-compartments-8-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-08,38704,55513,2018-02-08 18:44:00,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 31 Compartments / 9 Hours, Specia","About 38,704 pilgrims had Srivari darshan from 3am to 6pm on Feb 8",https://news.tirumala.org/sarva-darshan-free-darshan-31-compartments-9-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-09,39197,55633,2018-02-09 18:57:53,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 26 Compartments / 7 Hours, Specia","About 39,197 pilgrims had Srivari darshan from 3am to 6pm on Feb 9",https://news.tirumala.org/sarva-darshan-free-darshan-26-compartments-7-hours-special-entry-darshan-rs-300-darshan-direct/
